Code,Name,API_url,Released,Icon_url,Icon_svg_url
lea,"Limited Edition Alpha",https://scryfall.com/sets/lea,1993-08-05,https://svgs.scryfall.io/sets/lea.svg?1787544000,https://svgs.scryfall.io/sets/lea.svg?1787544000
leb,"Limited Edition Beta",https://scryfall.com/sets/leb,1993-10-04,https://svgs.scryfall.io/sets/leb.svg?1787544000,https://svgs.scryfall.io/sets/leb.svg?1787544000
2ed,"Unlimited Edition",https://scryfall.com/sets/2ed,1993-12-01,https://svgs.scryfall.io/sets/2ed.svg?1787544000,https://svgs.scryfall.io/sets/2ed.svg?1787544000
arn,"Arabian Nights",https://scryfall.com/sets/arn,1993-12-17,https://svgs.scryfall.io/sets/arn.svg?1787544000,https://svgs.scryfall.io/sets/arn.svg?1787544000
atq,Antiquities,https://scryfall.com/sets/atq,1994-03-04,https://svgs.scryfall.io/sets/atq.svg?1787544000,https://svgs.scryfall.io/sets/atq.svg?1787544000
3ed,"Revised Edition",https://scryfall.com/sets/3ed,1994-04-11,https://svgs.scryfall.io/sets/3ed.svg?1787544000,https://svgs.scryfall.io/sets/3ed.svg?1787544000
fbb,"Foreign Black Border",https://scryfall.com/sets/fbb,1994-04-11,https://svgs.scryfall.io/sets/3ed.svg?1787544000,https://svgs.scryfall.io/sets/3ed.svg?1787544000
leg,Legends,https://scryfall.com/sets/leg,1994-06-01,https://svgs.scryfall.io/sets/leg.svg?1787544000,https://svgs.scryfall.io/sets/leg.svg?1787544000
sum,"Summer Magic / Edgar",https://scryfall.com/sets/sum,1994-06-21,https://svgs.scryfall.io/sets/psum.svg?1787544000,https://svgs.scryfall.io/sets/psum.svg?1787544000
drk,"The Dark",https://scryfall.com/sets/drk,1994-08-01,https://svgs.scryfall.io/sets/drk.svg?1787544000,https://svgs.scryfall.io/sets/drk.svg?1787544000
fem,"Fallen Empires",https://scryfall.com/sets/fem,1994-11-01,https://svgs.scryfall.io/sets/fem.svg?1787544000,https://svgs.scryfall.io/sets/fem.svg?1787544000
4bb,"Fourth Edition Foreign Black Border",https://scryfall.com/sets/4bb,1995-04-01,https://svgs.scryfall.io/sets/4ed.svg?1787544000,https://svgs.scryfall.io/sets/4ed.svg?1787544000
4ed,"Fourth Edition",https://scryfall.com/sets/4ed,1995-04-01,https://svgs.scryfall.io/sets/4ed.svg?1787544000,https://svgs.scryfall.io/sets/4ed.svg?1787544000
ice,"Ice Age",https://scryfall.com/sets/ice,1995-06-03,https://svgs.scryfall.io/sets/ice.svg?1787544000,https://svgs.scryfall.io/sets/ice.svg?1787544000
chr,Chronicles,https://scryfall.com/sets/chr,1995-07-01,https://svgs.scryfall.io/sets/chr.svg?1787544000,https://svgs.scryfall.io/sets/chr.svg?1787544000
bchr,"Chronicles Foreign Black Border",https://scryfall.com/sets/bchr,1995-07-01,https://svgs.scryfall.io/sets/chr.svg?1787544000,https://svgs.scryfall.io/sets/chr.svg?1787544000
rin,Rinascimento,https://scryfall.com/sets/rin,1995-08-01,https://svgs.scryfall.io/sets/rin.svg?1787544000,https://svgs.scryfall.io/sets/rin.svg?1787544000
ren,Renaissance,https://scryfall.com/sets/ren,1995-08-01,https://svgs.scryfall.io/sets/ren.svg?1787544000,https://svgs.scryfall.io/sets/ren.svg?1787544000
hml,Homelands,https://scryfall.com/sets/hml,1995-10-01,https://svgs.scryfall.io/sets/hml.svg?1787544000,https://svgs.scryfall.io/sets/hml.svg?1787544000
all,Alliances,https://scryfall.com/sets/all,1996-06-10,https://svgs.scryfall.io/sets/all.svg?1787544000,https://svgs.scryfall.io/sets/all.svg?1787544000
rqs,"Rivals Quick Start Set",https://scryfall.com/sets/rqs,1996-07-01,https://svgs.scryfall.io/sets/default.svg?1787544000,https://svgs.scryfall.io/sets/default.svg?1787544000
mir,Mirage,https://scryfall.com/sets/mir,1996-10-08,https://svgs.scryfall.io/sets/mir.svg?1787544000,https://svgs.scryfall.io/sets/mir.svg?1787544000
mgb,"Multiverse Gift Box",https://scryfall.com/sets/mgb,1996-11-01,https://svgs.scryfall.io/sets/vis.svg?1787544000,https://svgs.scryfall.io/sets/vis.svg?1787544000
itp,"Introductory Two-Player Set",https://scryfall.com/sets/itp,1996-12-31,https://svgs.scryfall.io/sets/x2ps.svg?1787544000,https://svgs.scryfall.io/sets/x2ps.svg?1787544000
vis,Visions,https://scryfall.com/sets/vis,1997-02-03,https://svgs.scryfall.io/sets/vis.svg?1787544000,https://svgs.scryfall.io/sets/vis.svg?1787544000
5ed,"Fifth Edition",https://scryfall.com/sets/5ed,1997-03-24,https://svgs.scryfall.io/sets/5ed.svg?1787544000,https://svgs.scryfall.io/sets/5ed.svg?1787544000
past,"Astral Cards",https://scryfall.com/sets/past,1997-04-01,https://svgs.scryfall.io/sets/past.svg?1787544000,https://svgs.scryfall.io/sets/past.svg?1787544000
por,Portal,https://scryfall.com/sets/por,1997-05-01,https://svgs.scryfall.io/sets/por.svg?1787544000,https://svgs.scryfall.io/sets/por.svg?1787544000
pvan,"Vanguard Series",https://scryfall.com/sets/pvan,1997-05-01,https://svgs.scryfall.io/sets/van.svg?1787544000,https://svgs.scryfall.io/sets/van.svg?1787544000
wth,Weatherlight,https://scryfall.com/sets/wth,1997-06-09,https://svgs.scryfall.io/sets/wth.svg?1787544000,https://svgs.scryfall.io/sets/wth.svg?1787544000
tmp,Tempest,https://scryfall.com/sets/tmp,1997-10-14,https://svgs.scryfall.io/sets/tmp.svg?1787544000,https://svgs.scryfall.io/sets/tmp.svg?1787544000
sth,Stronghold,https://scryfall.com/sets/sth,1998-03-02,https://svgs.scryfall.io/sets/sth.svg?1787544000,https://svgs.scryfall.io/sets/sth.svg?1787544000
exo,Exodus,https://scryfall.com/sets/exo,1998-06-15,https://svgs.scryfall.io/sets/exo.svg?1787544000,https://svgs.scryfall.io/sets/exo.svg?1787544000
p02,"Portal Second Age",https://scryfall.com/sets/p02,1998-06-24,https://svgs.scryfall.io/sets/p02.svg?1787544000,https://svgs.scryfall.io/sets/p02.svg?1787544000
usg,"Urza's Saga",https://scryfall.com/sets/usg,1998-10-12,https://svgs.scryfall.io/sets/usg.svg?1787544000,https://svgs.scryfall.io/sets/usg.svg?1787544000
ath,Anthologies,https://scryfall.com/sets/ath,1998-11-01,https://svgs.scryfall.io/sets/ath.svg?1787544000,https://svgs.scryfall.io/sets/ath.svg?1787544000
ulg,"Urza's Legacy",https://scryfall.com/sets/ulg,1999-02-15,https://svgs.scryfall.io/sets/ulg.svg?1787544000,https://svgs.scryfall.io/sets/ulg.svg?1787544000
6ed,"Classic Sixth Edition",https://scryfall.com/sets/6ed,1999-04-21,https://svgs.scryfall.io/sets/6ed.svg?1787544000,https://svgs.scryfall.io/sets/6ed.svg?1787544000
ptk,"Portal Three Kingdoms",https://scryfall.com/sets/ptk,1999-05-01,https://svgs.scryfall.io/sets/ptk.svg?1787544000,https://svgs.scryfall.io/sets/ptk.svg?1787544000
uds,"Urza's Destiny",https://scryfall.com/sets/uds,1999-06-07,https://svgs.scryfall.io/sets/uds.svg?1787544000,https://svgs.scryfall.io/sets/uds.svg?1787544000
s99,"Starter 1999",https://scryfall.com/sets/s99,1999-07-01,https://svgs.scryfall.io/sets/s99.svg?1787544000,https://svgs.scryfall.io/sets/s99.svg?1787544000
mmq,"Mercadian Masques",https://scryfall.com/sets/mmq,1999-10-04,https://svgs.scryfall.io/sets/mmq.svg?1787544000,https://svgs.scryfall.io/sets/mmq.svg?1787544000
brb,"Battle Royale Box Set",https://scryfall.com/sets/brb,1999-11-12,https://svgs.scryfall.io/sets/brb.svg?1787544000,https://svgs.scryfall.io/sets/brb.svg?1787544000
nem,Nemesis,https://scryfall.com/sets/nem,2000-02-14,https://svgs.scryfall.io/sets/nem.svg?1787544000,https://svgs.scryfall.io/sets/nem.svg?1787544000
s00,"Starter 2000",https://scryfall.com/sets/s00,2000-04-01,https://svgs.scryfall.io/sets/s00.svg?1787544000,https://svgs.scryfall.io/sets/s00.svg?1787544000
pcy,Prophecy,https://scryfall.com/sets/pcy,2000-06-05,https://svgs.scryfall.io/sets/pcy.svg?1787544000,https://svgs.scryfall.io/sets/pcy.svg?1787544000
btd,"Beatdown Box Set",https://scryfall.com/sets/btd,2000-10-01,https://svgs.scryfall.io/sets/btd.svg?1787544000,https://svgs.scryfall.io/sets/btd.svg?1787544000
inv,Invasion,https://scryfall.com/sets/inv,2000-10-02,https://svgs.scryfall.io/sets/inv.svg?1787544000,https://svgs.scryfall.io/sets/inv.svg?1787544000
pls,Planeshift,https://scryfall.com/sets/pls,2001-02-05,https://svgs.scryfall.io/sets/pls.svg?1787544000,https://svgs.scryfall.io/sets/pls.svg?1787544000
7ed,"Seventh Edition",https://scryfall.com/sets/7ed,2001-04-11,https://svgs.scryfall.io/sets/7ed.svg?1787544000,https://svgs.scryfall.io/sets/7ed.svg?1787544000
apc,Apocalypse,https://scryfall.com/sets/apc,2001-06-04,https://svgs.scryfall.io/sets/apc.svg?1787544000,https://svgs.scryfall.io/sets/apc.svg?1787544000
psdg,"Sega Dreamcast Cards",https://scryfall.com/sets/psdg,2001-06-28,https://svgs.scryfall.io/sets/psdg.svg?1787544000,https://svgs.scryfall.io/sets/psdg.svg?1787544000
ody,Odyssey,https://scryfall.com/sets/ody,2001-10-01,https://svgs.scryfall.io/sets/ody.svg?1787544000,https://svgs.scryfall.io/sets/ody.svg?1787544000
dkm,Deckmasters,https://scryfall.com/sets/dkm,2001-12-01,https://svgs.scryfall.io/sets/dkm.svg?1787544000,https://svgs.scryfall.io/sets/dkm.svg?1787544000
tor,Torment,https://scryfall.com/sets/tor,2002-02-04,https://svgs.scryfall.io/sets/tor.svg?1787544000,https://svgs.scryfall.io/sets/tor.svg?1787544000
jud,Judgment,https://scryfall.com/sets/jud,2002-05-27,https://svgs.scryfall.io/sets/jud.svg?1787544000,https://svgs.scryfall.io/sets/jud.svg?1787544000
ons,Onslaught,https://scryfall.com/sets/ons,2002-10-07,https://svgs.scryfall.io/sets/ons.svg?1787544000,https://svgs.scryfall.io/sets/ons.svg?1787544000
pmoa,"Magic Online Avatars",https://scryfall.com/sets/pmoa,2003-01-01,https://svgs.scryfall.io/sets/mtgo.svg?1787544000,https://svgs.scryfall.io/sets/mtgo.svg?1787544000
lgn,Legions,https://scryfall.com/sets/lgn,2003-02-03,https://svgs.scryfall.io/sets/lgn.svg?1787544000,https://svgs.scryfall.io/sets/lgn.svg?1787544000
scg,Scourge,https://scryfall.com/sets/scg,2003-05-26,https://svgs.scryfall.io/sets/scg.svg?1787544000,https://svgs.scryfall.io/sets/scg.svg?1787544000
8ed,"Eighth Edition",https://scryfall.com/sets/8ed,2003-07-28,https://svgs.scryfall.io/sets/8ed.svg?1787544000,https://svgs.scryfall.io/sets/8ed.svg?1787544000
mrd,Mirrodin,https://scryfall.com/sets/mrd,2003-10-02,https://svgs.scryfall.io/sets/mrd.svg?1787544000,https://svgs.scryfall.io/sets/mrd.svg?1787544000
dst,Darksteel,https://scryfall.com/sets/dst,2004-02-06,https://svgs.scryfall.io/sets/dst.svg?1787544000,https://svgs.scryfall.io/sets/dst.svg?1787544000
5dn,"Fifth Dawn",https://scryfall.com/sets/5dn,2004-06-04,https://svgs.scryfall.io/sets/5dn.svg?1787544000,https://svgs.scryfall.io/sets/5dn.svg?1787544000
